axis,n,n_smooths,k,py_ms,r_ms,ratio_py_over_r
n,200,1,10,2.221,2,1.11
n,1000,1,10,2.652,2,1.33
n,5000,1,10,4.247,4,1.06
n,20000,1,10,11.13,12,0.928
n,50000,1,10,25,29,0.862
n_smooths,2000,1,10,2.76,3,0.92
n_smooths,2000,2,10,6.597,5,1.32
n_smooths,2000,4,10,18.27,13,1.41
n_smooths,2000,6,10,44.79,25,1.79
