axis,n,n_smooths,k,py_ms,r_ms,ratio_py_over_r
n,200,1,10,2.364,2,1.18
n,1000,1,10,3.686,2,1.84
n,5000,1,10,4.786,4,1.2
n,20000,1,10,13.16,13,1.01
n,50000,1,10,30.17,31,0.973
n_smooths,2000,1,10,3.17,3,1.06
n_smooths,2000,2,10,7.966,5,1.59
n_smooths,2000,4,10,35.38,14,2.53
n_smooths,2000,6,10,132.9,26,5.11
