case,term,sp_py,sp_r,sp_rel,edf_py,edf_r,edf_abs,near_null
R15_default_mcycle,times,1.53,1.53,4.93e-05,8.39,8.39,2.35e-05,False
mcycle_reml,times,1.36,1.36,7.72e-05,8.444,8.444,3.43e-05,False
gamsim4_gaussian,x0,2.56e+03,2.56e+03,1.59e-05,2.492,2.492,9.59e-06,False
gamsim4_gaussian,x1,3.23e+03,3.23e+03,6.82e-05,2.399,2.399,3.96e-05,False
gamsim4_gaussian,x2,7.9,7.9,2.01e-05,7.641,7.641,1.74e-05,False
gamsim4_gaussian,x3,1.31e+08,1.06e+13,1,1,1,7.85e-05,True
gamsim4_gaussian_reml,x0,1.18e+03,1.18e+03,4.51e-05,3.009,3.009,3.33e-05,False
gamsim4_gaussian_reml,x1,1.61e+03,1.61e+03,5.32e-05,2.838,2.838,3.67e-05,False
gamsim4_gaussian_reml,x2,5.36,5.36,5e-05,7.958,7.957,4.08e-05,False
gamsim4_gaussian_reml,x3,1.31e+08,1.11e+07,10.7,1,1.001,0.000841,True
gamsim4_poisson,x0,1.24e+03,1.24e+03,5.38e-05,5.065,5.065,5.83e-05,False
gamsim4_poisson,x1,346,346,5.11e-05,6.53,6.53,5.72e-05,False
gamsim4_poisson,x2,144,144,5.37e-05,7.399,7.399,5.22e-05,False
gamsim4_poisson,x3,1.23e+03,1.23e+03,5.26e-05,5.077,5.077,5.69e-05,False
gamsim4_binomial,x0,59.3,59.3,4.91e-05,3.745,3.745,4.38e-05,False
gamsim4_binomial,x1,829,829,4.81e-05,1.864,1.864,2.15e-05,False
gamsim4_binomial,x2,0.00269,0.00269,5.27e-05,8.851,8.851,4.62e-06,False
gamsim4_binomial,x3,2.68e+08,5.27e+06,49.8,1,1,0.000351,True
R10_near_linear,x,1.61e+08,5.04e+12,1,1,1,9.6e-05,True
R10_wiggly,x,0.0335,0.0356,0.0594,18.97,18.97,0.00203,False
R10_concurvity,x1,57.5,57.5,0.000217,5.826,5.826,0.000287,False
R10_concurvity,x2,1.24e+03,1.24e+03,0.000508,1.857,1.857,0.00032,False
R10_overspecified_k,x,0.492,0.492,9.81e-05,27.84,27.84,0.000101,False
R10_parametric_plus_smooth,x,29.4,29.4,5.02e-05,6.333,6.333,5.67e-05,False
