n,p,n_events,n_iter,wall_pystat_s,wall_r_s,ratio_pystat_over_r
250,3,180,4,0.03129554190672934,0.0013333333333333346,23.471656430046984
500,3,334,3,0.06760924984700978,0.001666666666666668,40.56554990820583
1000,3,672,3,0.216044417116791,0.0023333333333333353,92.59046447862464
2000,3,1357,3,0.7588332497980446,0.00366666666666667,206.95452267219378
4000,3,2628,3,2.62333804089576,0.006333333333333339,414.21126961511965
8000,3,5445,3,10.0179972499609,0.012333333333333344,812.2700472941262
