procedure,dataset,n,n_events,wall_pystat_s,wall_r_s,speedup_vs_r
kaplan_meier,lung_km,228,165,0.0002792910672724247,0.0005714285714285719,2.0459965906148794
survdiff,lung_km,228,,0.0005277078598737717,0.0005714285714285719,1.0828502186138715
coxph,lung_coxph,227,164,0.02197758317925036,0.0010000000000000009,0.04550090844129433
discrete_time,lung_discrete,227,164,0.0012647919356822968,0.001285714285714287,1.0165421279514275
