n,p,n_events,n_iter,wall_pystat_s,wall_r_s,ratio_pystat_over_r
250,3,180,4,0.0008964580483734608,0.001200000000000001,0.74704837364455
500,3,334,3,0.0010391660034656525,0.001200000000000001,0.8659716695547097
1000,3,672,3,0.0017363331280648708,0.0020000000000000018,0.8681665640324346
2000,3,1357,3,0.0031390422955155373,0.003400000000000003,0.9232477339751572
4000,3,2628,3,0.0061737908981740475,0.006200000000000006,0.9957727255119422
8000,3,5445,3,0.012618832755833864,0.01180000000000001,1.0693926064265977
