procedure,dataset,n,n_events,wall_pystat_s,wall_r_s,speedup_vs_r
kaplan_meier,lung_km,228,165,0.0001744171604514122,0.0006000000000000005,3.440028483706131
survdiff,lung_km,228,,0.00048120785504579544,0.0006000000000000005,1.246862439398251
coxph,lung_coxph,227,164,0.0009207907132804394,0.0010000000000000009,1.0860231164119454
discrete_time,lung_discrete,227,164,0.0012368331663310528,0.001200000000000001,0.9702197779508825
