axis,n,n_smooths,k,py_ms,r_ms,ratio_py_over_r
n,200,1,10,2.265,2,1.13
n,1000,1,10,2.755,2,1.38
n,5000,1,10,4.554,4,1.14
n,20000,1,10,11.77,14,0.84
n,50000,1,10,26.16,29,0.902
n_smooths,2000,1,10,2.906,3,0.969
n_smooths,2000,2,10,6.545,5,1.31
n_smooths,2000,4,10,19,14,1.36
n_smooths,2000,6,10,45.83,28,1.64
