surface,n,cpu_ms,gpu_fp32_ms,gpu_fp64_ms,speedup_fp32_vs_cpu
polr,2000,14.9,23.6,30.2,0.6
polr,20000,182.4,20.7,42.1,8.8
polr,100000,866.6,18.9,58.7,45.8
multinom,2000,12.0,9.8,29.9,1.2
multinom,20000,466.2,20.5,47.4,22.7
multinom,100000,2442.5,20.5,260.0,119.4
