mechanism,severity,eq_cond,gpu_status,coef_rel_gpu_vs_cpu,se_rel_gpu_vs_cpu,cpu_se_max,gpu_se_max,inference_verdict
low_hazard,4.0,1.1111465122955997,accepted,2.9121506845377364e-07,7.250325906656691e-07,0.045456884316590056,0.045456851358867456,inference-warned
low_hazard,6.0,1.096045336413794,accepted,4.551983988065838e-06,8.02012157499806e-07,0.048234346514382485,0.04823430782985017,inference-warned
low_hazard,8.0,1.0877975873581995,accepted,7.189311871691595e-06,7.410150699129904e-07,0.04806288090636393,0.048062845291044876,inference-warned
low_hazard,10.0,1.0907463847277306,accepted,6.572516445209661e-07,6.545366397780475e-07,0.04561688544883252,0.045616855590909604,inference-warned
low_hazard,12.0,1.0880423814973457,accepted,5.663981106251942e-07,8.240455291042837e-07,0.0480634137533983,0.048063374146957084,inference-warned
low_hazard,14.0,1.0977128359777748,accepted,3.345138514720586e-07,8.659894290460478e-07,0.04912573105925703,0.04912568851689324,inference-warned
near_separation,0.1,1.096539623076805,accepted,7.528829647690745e-07,5.664617339413584e-07,0.08051358569626567,0.08051354008840031,inference-warned
near_separation,0.3,1.0873427298921177,accepted,3.012848009934056e-07,8.511357734629464e-07,0.07899843923908403,0.078998385981239,inference-warned
near_separation,0.5,1.0829091219121139,accepted,8.506146276230659e-07,1.192009118075361e-06,0.07814896163861179,0.07814888479986697,inference-warned
near_separation,0.7,1.0813285713118552,accepted,1.0631237789478279e-06,6.85516770099424e-07,0.07600005296757414,0.0760000008682633,inference-warned
near_separation,0.85,1.095689602218481,accepted,8.97928923741817e-06,4.808421895419798e-07,0.08423384676123259,0.08423381371260918,inference-warned
near_separation,0.95,1.0955441053193982,accepted,1.805583765744462e-06,9.904316121265075e-07,0.07849197903968409,0.0784919398724285,inference-warned
large_coef,1.0,1.0992623763008462,accepted,3.1956614242440763e-07,9.389228773300298e-09,0.07296108958871872,0.07296108936365489,inference-warned
large_coef,3.0,1.0895270243791093,accepted,2.94322077448209e-07,4.086834830802669e-06,0.07352641567382812,0.07352671616414468,inference-warned
large_coef,6.0,1.0891042892217708,accepted,1.1947156634526138e-05,1.6459259475590106e-05,0.46302309824562715,0.46303071926294437,inference-warned
large_coef,10.0,1.0898045122065676,accepted,3.979868585554047e-06,3.078495802924324e-05,0.14642362309853704,0.14642813074362862,inference-warned
large_coef,16.0,1.1028375284043754,accepted,6.221259348202163e-05,9.62857106031812e-05,1.2894831467982595,1.2896069299735293,inference-warned
large_coef,24.0,1.0875447233013458,accepted,5.9617344097900325e-06,7.494127867418261e-07,1.0752387844980036,1.0752379787003097,inference-warned
conditioning,0.1,19.990011632509447,accepted,5.8231648986855784e-05,1.51234096128323e-05,0.7524911825043631,0.75250013223659,inference-warned
conditioning,0.01,202.37285336966306,accepted,0.006938241627649264,1.3712378294865195e-05,7.8076173357993035,7.8075102747968135,inference-warned
conditioning,0.001,2000.5938904867678,accepted,0.0002196205342472529,0.00012387296583406908,76.53422590021431,76.52474537866424,inference-warned
conditioning,0.0001,20138.938467235792,refused,,,828.5676212652188,,refused (fail-loud)
conditioning,1e-05,201639.13061432994,refused,,,8971.728572130813,,refused (fail-loud)
conditioning,1e-06,2021130.9894125164,refused,,,80477.77646070463,,refused (fail-loud)
flchain_quarterly,0.0,3.5630427869496226,accepted,6.177144431507962e-05,1.8724258596501757e-06,0.25509422516753655,0.25509420674925803,inference-warned
