procedure,dataset,n,n_events,wall_pystat_s,wall_r_s,speedup_vs_r
kaplan_meier,lung_km,228,165,0.00017308397218585014,0.0005714285714285719,3.301452839405583
survdiff,lung_km,228,,0.0005095829255878925,0.0005714285714285719,1.1213652238628868
coxph,lung_coxph,227,164,0.0025849579833447933,0.0010000000000000009,0.3868534832841097
discrete_time,lung_discrete,227,164,0.0012986669316887856,0.001142857142857136,0.8800232877039268
