n,p,n_events,n_iter,wall_pystat_s,wall_r_s,ratio_pystat_over_r
250,3,180,4,0.0013458330649882555,0.001200000000000001,1.1215275541568788
500,3,334,3,0.0019090832211077213,0.0014000000000000013,1.3636308722197996
1000,3,672,3,0.00375904212705791,0.0020000000000000018,1.8795210635289532
2000,3,1357,3,0.007376709021627903,0.0036000000000000034,2.0490858393410822
4000,3,2628,3,0.01516750012524426,0.006200000000000006,2.44637098794262
8000,3,5445,3,0.03255508281290531,0.012400000000000012,2.625409904266555
