dataset,alternative,B,p_py,p_exact,p_r_mc,abs_vs_exact,pass
sleep,two-sided,200000,0.07844960775196123,0.0797051245967655,0.079159604201979,1.3e-03,True
sleep,greater,200000,0.9609451952740237,0.960293576392648,0.960425197874011,6.5e-04,True
sleep,less,200000,0.03922480387598062,0.0398525622983827,0.0395798021009895,6.3e-04,True
