study,dataset,statistic,axis(B|n),py_ms,r_ms,R_over_py,py_slope
boot_scaling,law,corr,1000,19.69,8.0,0.41,1.0
boot_scaling,law,corr,5000,97.71,38.0,0.39,1.0
boot_scaling,law,corr,20000,391.23,153.0,0.39,1.0
boot_scaling,law,corr,50000,977.78,396.0,0.4,1.0
boot_scaling,city,ratio,1000,6.62,1.0,0.15,1.01
boot_scaling,city,ratio,5000,33.89,9.0,0.27,1.01
boot_scaling,city,ratio,20000,135.58,37.0,0.27,1.01
boot_scaling,city,ratio,50000,339.39,92.0,0.27,1.01
perm_scaling,sleep,mean_diff,1000,4.42,2.0,0.45,1.0
perm_scaling,sleep,mean_diff,5000,22.55,14.0,0.62,1.0
perm_scaling,sleep,mean_diff,20000,90.37,51.0,0.56,1.0
perm_scaling,sleep,mean_diff,50000,224.97,129.0,0.57,1.0
n_scaling,,corr,10,97.44,38.0,0.39,0
n_scaling,,corr,100,105.27,54.0,0.51,0
n_scaling,,corr,1000,165.73,150.0,0.91,0
n_scaling,,corr,10000,708.37,2367.0,3.34,0
