dataset,criterion,n,p,n_groups,coef_max_rel,loglik_rel,reml_crit_rel,aic_rel,bic_rel,se_max_rel,tval_max_rel,df_satt_max_rel,pval_max_abs,varcomp_max_rel,varcomp_boundary_max_abs,corr_max_abs,blup_max_scaled,py_singular,r_singular,r_diagnostics,py_converged
sleepstudy,REML,180,2,Subject=18,2.487131694678281e-15,1.6047214614036502e-11,1.6044867367081322e-11,1.5935198132874564e-11,1.5763955991239235e-11,1.4102536316660268e-05,1.4102735200550031e-05,4.908737121918101e-05,1.0785179363154882e-09,3.9343033640379754e-05,,4.6937214315867504e-05,4.633320933650348e-05,False,False,,True
penicillin,REML,144,1,plate=24;sample=6,2.064612084681666e-13,2.3072002708865295e-11,2.3075095194260926e-11,2.2530326143073617e-11,2.176724360526795e-11,3.54056743031234e-05,3.540692811321641e-05,0.000123786029696972,5.825558551226146e-10,7.483130115169576e-05,,,7.068181941870231e-07,False,False,,True
dyestuff,REML,30,1,Batch=6,2.977069400238718e-16,2.6994261013215804e-13,2.7314351064756e-13,2.681109924820479e-13,2.631433376652612e-13,2.6820962418221216e-06,2.682103434749854e-06,6.866711860035786e-06,7.584449215298276e-13,7.16553370259708e-06,,,3.0131643690319433e-06,False,False,,True
dyestuff2,REML,30,1,Batch=6,4.703006307910522e-16,0.0,1.2294017378484695e-15,1.1854496070043161e-15,1.982542613698723e-15,3.2731209070010085e-16,6.380926383539791e-16,6.982461265522295e-07,1.8235205044696056e-14,3.602555121006722e-15,7.499901763977661e-17,,5.0400209844805005e-17,True,True,message: boundary (singular) fit: see help('isSingular'),True
pastes,REML,60,1,batch=10;sample=30,2.72132819765601e-15,1.2883456517271907e-12,1.2883456517271907e-12,1.2479254983933587e-12,1.209741531103128e-12,5.062598772688835e-07,5.062596234130661e-07,5.734415303598433e-07,2.9351213095233963e-19,4.59458452361884e-06,,,1.1468548669153916e-05,False,False,,True
sleepstudy,ML,180,2,Subject=18,2.8680244338205696e-14,1.4457936279924356e-11,1.4460272391711023e-11,1.436189980934226e-11,1.4206829285008832e-11,2.408455392042933e-05,2.40839738653647e-05,6.366089329275724e-05,1.5436787976565913e-10,7.0211324979868e-05,,8.743550046610982e-06,4.6156707466999124e-05,False,False,,True
dyestuff,ML,30,1,Batch=6,1.488534700119359e-16,3.994166062143921e-15,6.946375760250318e-15,6.821338643322684e-15,5.220699139788564e-15,3.798614367801923e-07,3.7986129413077325e-07,6.641854929218801e-07,2.4069685636471272e-15,1.0950658827275293e-06,,,5.609336714115829e-07,False,False,,True
