complexity,G,group_size,n,p,pystat_s,r_lmer_s,speedup_vs_r
intercept,10,8,80,2,0.003951416118070483,0.014,3.5430335812965055
intercept,25,8,200,2,0.004524624906480312,0.016,3.5362047309345552
intercept,50,8,400,2,0.007097541121765971,0.015,2.1134079736431004
intercept,100,8,800,2,0.02604354196228087,0.018,0.6911502293378368
intercept,200,8,1600,2,0.10718125011771917,0.021,0.19592979160940285
intercept,400,8,3200,2,0.6676145000383258,0.03,0.04493611208006684
intercept+slope,10,8,80,2,0.01824466697871685,0.018,0.986589671436466
intercept+slope,25,8,200,2,0.0231777080334723,0.019,0.8197531858008124
intercept+slope,50,8,400,2,0.05000070808455348,0.023,0.45999348571436127
intercept+slope,100,8,800,2,0.14045991702005267,0.029,0.20646459584523202
intercept+slope,200,8,1600,2,0.5652307921554893,0.041,0.07253674175047653
intercept+slope,400,8,3200,2,3.918355125002563,0.0620000000000001,0.015822966020712464
