n,p,n_events,n_iter,wall_pystat_s,wall_r_s,ratio_pystat_over_r
250,3,180,4,0.001332959160208702,0.0013333333333333346,0.9997193701565257
500,3,334,3,0.0018809591419994831,0.001666666666666668,1.128575485199689
1000,3,672,3,0.0035734581761062145,0.0023333333333333353,1.5314820754740908
2000,3,1357,3,0.007293083006516099,0.0040000000000000036,1.8232707516290232
4000,3,2628,3,0.014908249955624342,0.005999999999999987,2.4847083259373957
8000,3,5445,3,0.0316663330886513,0.011999999999999992,2.6388610907209435
