func,n,p,K,py_ms,r_ms,ratio_py_over_r,py_slope,r_slope,pass
polr,500,4,4,4.15,7.0,0.593,0.96,0.98,True
polr,2000,4,4,11.31,20.0,0.566,0.96,0.98,True
polr,8000,4,4,43.81,100.0,0.438,0.96,0.98,True
polr,20000,4,4,150.82,240.0,0.628,0.96,0.98,True
multinom(n),500,4,3,1.48,2.0,0.739,0.87,1.06,True
multinom(n),2000,4,3,3.79,7.0,0.541,0.87,1.06,True
multinom(n),8000,4,3,13.91,36.0,0.386,0.87,1.06,True
multinom(n),20000,4,3,37.08,96.0,0.386,0.87,1.06,True
multinom(K),4000,5,3,7.1,22.0,0.323,1.24,1.5,True
multinom(K),4000,5,5,12.65,38.0,0.333,1.24,1.5,True
multinom(K),4000,5,8,20.34,83.0,0.245,1.24,1.5,True
multinom(K),4000,5,12,41.51,173.0,0.24,1.24,1.5,True
