model_key,family,n,p,reps,wall_pystat_s,wall_r_s,speedup_vs_r,pystat_lags_r
ols,gaussian,50,8,300,4.3625012040138245e-05,0.0004166666666667,9.551095740290817,False
ols,gaussian,200,8,300,5.045847501605749e-05,0.0004333333333333,8.587919733907922,False
ols,gaussian,1000,8,100,0.0001198124373331666,0.00062,5.174754923614019,False
ols,gaussian,10000,8,30,0.0007945835823193192,0.002266666666667,2.8526472445489,False
ols,gaussian,100000,8,8,0.007424604031257331,0.02325,3.1314801304040305,False
ols,gaussian,500000,8,4,0.03829887509346008,0.08525,2.225913941126623,False
glm_binomial,binomial,50,8,300,0.0002829795703291893,0.0006166666666667,2.1791914729015014,False
glm_binomial,binomial,200,8,300,0.0003434164682403207,0.00079,2.300413850413146,False
glm_binomial,binomial,1000,8,100,0.0006923540495336056,0.00167,2.412060709582,False
glm_binomial,binomial,10000,8,30,0.006491291569545865,0.01103333333333,1.6997131025654881,False
glm_binomial,binomial,100000,8,8,0.05779670795891434,0.116625,2.0178484920439526,False
glm_binomial,binomial,500000,8,4,0.2919653335120529,0.509,1.743357657832989,False
glm_poisson,poisson,50,8,300,0.0003035619156435132,0.0007333333333333,2.4157619765270133,False
glm_poisson,poisson,200,8,300,0.0003245630068704486,0.0009233333333333,2.84485081105332,False
glm_poisson,poisson,1000,8,100,0.0007990831509232521,0.00198,2.477839756366192,False
glm_poisson,poisson,10000,8,30,0.007869250024668872,0.01306666666667,1.6604716619383089,False
glm_poisson,poisson,100000,8,8,0.06268029194325209,0.135375,2.1597697745658624,False
glm_poisson,poisson,500000,8,4,0.32319175044540316,0.63225,1.9562689924129302,False
glm_gamma,gamma,50,8,300,0.0004437504103407264,0.0009233333333333,2.0807492496160935,False
glm_gamma,gamma,200,8,300,0.0004142913967370987,0.00116,2.7999615949932783,False
glm_gamma,gamma,1000,8,100,0.000827228999696672,0.0025,3.0221377646536802,False
glm_gamma,gamma,10000,8,30,0.008153749979101121,0.01463333333333,1.7946752562730892,False
glm_gamma,gamma,100000,8,8,0.06304916646331549,0.156875,2.488137572623995,False
glm_gamma,gamma,500000,8,4,0.3147862290497869,0.73875,2.3468307436128617,False
glm_negbin,negative.binomial,50,8,300,0.0010081459768116474,0.001443333333333,1.43167097477061,False
glm_negbin,negative.binomial,200,8,300,0.002587854047305882,0.005633333333333,2.1768357992204592,False
glm_negbin,negative.binomial,1000,8,100,0.004854312515817583,0.01693,3.4876205322245477,False
glm_negbin,negative.binomial,10000,8,30,0.049672916531562805,0.1296,2.6090676579791827,False
