model_key,family,dataset,formula,n,n_coef,coef_max_abs,coef_max_rel,se_max_rel,tstat_max_rel,pval_max_abs,wall_pystat_s,wall_r_s,speedup_vs_r,r2_pystat,r2_r,r2_abs_diff,deviance_pystat,deviance_r,deviance_rel_diff,aic_rel,bic_rel,n_iter,theta_pystat,theta_r,theta_rel
ols,gaussian,california_housing,MedHouseVal ~ MedInc + HouseAge + AveRooms + AveBedrms + Population + AveOccup + Latitude + Longitude,20640,9,2.0605739337042905e-13,5.83662722542952e-13,3.3624902444611965e-14,5.827744642032451e-13,2.7411406477995115e-13,0.0011308016255497932,0.0030000000000000027,2.6529852205875715,0.6062326851998034,0.6062326851998048,1.3322676295501878e-15,,,,,,,,,
glm_binomial,binomial,california_housing,high_value ~ MedInc + HouseAge + AveRooms + Population,20640,5,1.567457275086781e-11,1.5974630520815152e-11,6.194803769792343e-10,6.035055916948537e-10,1.2154849609452567e-13,0.004921005107462406,0.019000000000000017,3.8609998537062413,,,,19600.62298885426,19600.62298885244,9.2802632068398e-14,9.275530943508791e-14,9.256803184134353e-14,6,,,
glm_poisson,poisson,california_housing,pop_count ~ MedInc + HouseAge + AveOccup,20640,4,1.9539925233402755e-14,8.40254876279676e-15,1.291219209228127e-08,1.2912194140512061e-08,1.5660548339082547e-57,0.003185657784342766,0.016999999999999987,5.336417515890604,,,,117276.83123985073,117276.83123985073,0.0,0.0,0.0,5,,,
glm_gamma,gamma,airquality,Ozone ~ Solar.R + Temp + Wind,111,4,1.2212453270876722e-15,2.7057201328752036e-15,0.006298283620308697,0.006258863522704572,0.002949994509198639,0.00035187695175409317,0.0010000000000000009,2.8419025315953177,,,,25.86258425046589,25.862584250465893,1.3736885859488313e-16,1.2277917589176655e-16,1.2100867948469092e-16,7,,,
glm_negbin,negative.binomial,quine,Days ~ Eth + Sex + Age + Lrn,146,7,1.3750300121628811e-05,0.00015806993873945558,7.615317976834507e-07,0.0001579845443599833,0.0022634790641354874,0.002124355174601078,0.0030000000000000027,1.4121932320302124,,,,167.95181292825754,167.9518004093353,7.453877959374798e-08,1.807159352348686e-11,1.7690886865331876e-11,7,1.2748927592429506,1.2748926458110084,8.897372077267551e-08
