model_key,n,p,wall_cpu_fp64_s,wall_gpu_fp32_s,wall_gpu_fp64_s,speedup_fp32_vs_cpu,speedup_fp64_vs_cpu,gpu_fp64_coef_rel_vs_cpu
ols,10000,32,0.0021815448999404907,0.0011776825413107872,0.005811708979308605,1.8524048913150926,0.3753706367107219,2.1720818416394905e-15
ols,10000,128,0.007545526139438152,0.0035550249740481377,0.03600431885570288,2.122495958402789,0.2095728062424651,2.863891009153434e-14
ols,100000,32,0.015619920566678047,0.0021822545677423477,0.008267882280051708,7.157698646880434,1.8892287090691813,4.018631683117243e-15
ols,100000,128,0.09701316338032484,0.012974008917808533,0.048912178725004196,7.477500901603476,1.9834152947010544,2.096325733912748e-14
ols,500000,32,0.1143001327291131,0.01391089241951704,0.01892793830484152,8.216592385456847,6.03869956084317,1.4028714697667535e-14
ols,500000,128,0.762763743288815,0.05236315447837114,0.10445250198245049,14.566802762119273,7.302493753734786,1.5889121174454197e-14
glm_poisson,10000,32,0.005886949598789215,0.004091671667993069,0.004338919185101986,1.4387639274283988,1.3567778858390613,8.451438167519915e-15
glm_poisson,10000,128,0.04002445098012686,0.009774312376976013,0.011707108467817307,4.0948610435662856,3.4188161056296327,1.7589851537253794e-13
glm_poisson,100000,32,0.10098964534699917,0.03930654563009739,0.03219419624656439,2.5692831493610178,3.136889785151145,9.257349403209327e-15
glm_poisson,100000,128,0.5644696364179254,0.14134537428617477,0.1100581232458353,3.9935487048558977,5.128832109530682,1.7603512198664052e-14
glm_poisson,500000,32,0.7210561661049724,0.29305892903357744,0.20406928844749928,2.4604476938573567,3.5333889366232483,1.0575980597357722e-14
glm_poisson,500000,128,4.178884053602815,0.7091214954853058,0.5338695766404271,5.893043829876976,7.82753735453516,1.711674709213945e-13
