model_key,family,slope_pystat,slope_r,n_points_for_slope
ols,gaussian,0.9300431873070826,0.814197220151043,4
glm_binomial,binomial,0.9693931207064305,0.9310523835975626,4
glm_poisson,poisson,0.9579344952079446,0.9360183894110238,4
glm_gamma,gamma,0.9480692494818217,0.925884915559771,4
glm_negbin,negative.binomial,1.00999192788102,0.8839480434256387,2
