model_key,family,eq_cond,gpu_status,coef_rel_gpu_vs_cpu,se_rel_gpu_vs_cpu,se_rel_gpu_vs_r,cpu_se_max,gpu_se_max,r_se_max,inference_verdict
ols,gaussian,20.291503591981787,accepted,4.635080692673188e-05,3.8159626846312015e-08,3.815962611439254e-08,0.047402032898789,0.047402034707632885,0.04740203289878903,inference-warned
ols,gaussian,202.11974180170114,accepted,0.006286014436759436,2.7327808824044797e-08,2.7327802608978567e-08,0.47363488838511697,0.47363490132852065,0.4736348883851203,inference-warned
ols,gaussian,1996.8778021462535,accepted,0.4132105947003729,4.670809112395801e-06,4.670809135819745e-06,4.739721496637431,4.739743634971786,4.739721496637329,inference-warned
ols,gaussian,6734.1511961596625,refused,,,,15.928231360839792,,15.92823136083992,refused (fail-loud)
ols,gaussian,19776.81793913187,refused,,,,47.18938927938697,,47.18938927938463,refused (fail-loud)
ols,gaussian,67242.90137019094,accepted,0.9981757491205329,0.00010508458572182174,0.00010508458579554627,158.1513848075684,158.16783299562852,158.1513848075806,inference-warned
ols,gaussian,201829.92000701543,refused,,,,472.3238757328202,,472.32387573242806,refused (fail-loud)
glm_poisson,poisson,20.960906687056628,accepted,6.593724647409987e-05,2.7073419070758607e-07,2.227414286063236e-07,0.1255043113494363,0.1255043425096703,0.12550431603487452,inference-warned
glm_poisson,poisson,200.7260702746482,accepted,0.0008653609001595349,4.037113901645122e-07,3.596374726022046e-07,1.2156739713198135,1.215674461936231,1.215674024884464,inference-warned
glm_poisson,poisson,2006.391721946132,accepted,0.019916408432211787,1.7215622053060666e-06,1.761653351623645e-06,12.298538487680101,12.298517360222366,12.298538980738725,inference-warned
glm_poisson,poisson,6576.60370305801,refused,,,,40.170383989527984,,40.17038547467931,refused (fail-loud)
glm_poisson,poisson,20183.867086835427,refused,,,,123.36787531369373,,123.36788102319774,refused (fail-loud)
glm_poisson,poisson,67142.145820385,refused,,,,407.69423574387514,,407.6942520091683,refused (fail-loud)
glm_poisson,poisson,199055.16869794155,refused,,,,1224.3994029121404,,1224.399463390248,refused (fail-loud)
glm_gamma,gamma,19.832039691562155,accepted,5.701289059976237e-05,3.439200063924031e-12,0.03787860587167799,0.1173228288591699,0.1173228288595734,0.11304099361508474,inference-warned
glm_gamma,gamma,205.02353483126987,accepted,0.0020094222454284825,2.525630654149368e-09,0.03461311911423439,1.1762693731459135,1.1762693761167353,1.1369171281374988,inference-warned
glm_gamma,gamma,2023.3271791816362,refused,,,,11.73220885241893,,11.263629220872557,refused (fail-loud)
glm_gamma,gamma,6746.003260560025,refused,,,,39.01856010605162,,37.17821406860036,refused (fail-loud)
glm_gamma,gamma,19920.598266487563,refused,,,,115.72056101639242,,110.90327248381736,refused (fail-loud)
glm_gamma,gamma,66991.34098814914,refused,,,,386.14328225689246,,364.9006157425644,refused (fail-loud)
glm_gamma,gamma,195847.92522187167,refused,,,,1145.464141616813,,1083.1351107989492,refused (fail-loud)
