procedure,dataset,n,n_events,wall_pystat_s,wall_r_s,speedup_vs_r
kaplan_meier,lung_km,228,165,0.0001680420245975256,0.0005714285714285719,3.400509918856251
survdiff,lung_km,228,,0.0004806250799447298,0.0005714285714285719,1.18892790924328
coxph,lung_coxph,227,164,0.002509624930098653,0.0010000000000000009,0.3984659173594881
discrete_time,lung_discrete,227,164,0.0012099999003112316,0.0011428571428571438,0.9445101132348709
