dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:cpu,cpu,fp64,0.017463553696870804,2.7,True,
flchain_2_5yr,36018,13,pystatistics:cpu,cpu,fp64,0.042379057966172695,5.1,True,
flchain_yearly,82919,21,pystatistics:cpu,cpu,fp64,0.1402719784528017,4.0,True,
flchain_quarterly,319508,62,pystatistics:cpu,cpu,fp64,3.424582267180085,10.3,True,
flchain_monthly,951967,172,pystatistics:cpu,cpu,fp64,77.34180831164122,46.0,True,
synth_pp_n130000,130000,68,pystatistics:cpu,cpu,fp64,1.0509986374527216,,True,
synth_pp_n260000,260000,68,pystatistics:cpu,cpu,fp64,2.4244469618424773,,True,
synth_pp_n520000,520000,68,pystatistics:cpu,cpu,fp64,5.941125039942563,,True,
synth_pp_n1040000,1040000,68,pystatistics:cpu,cpu,fp64,13.093925954774022,,True,
synth_pp_n2080000,2080000,68,pystatistics:cpu,cpu,fp64,27.165537311695516,,True,
