n,p,n_events,n_iter,wall_pystat_s,wall_r_s,ratio_pystat_over_r
250,3,180,4,0.0012811250053346157,0.001200000000000001,1.0676041711121789
500,3,334,3,0.0018680831417441368,0.0016000000000000014,1.1675519635900844
1000,3,672,3,0.0037269999738782644,0.0020000000000000018,1.8634999869391307
2000,3,1357,3,0.0073276248294860125,0.0036000000000000034,2.0354513415238906
4000,3,2628,3,0.01481387484818697,0.0064000000000000055,2.3146679450292122
8000,3,5445,3,0.031403041910380125,0.012400000000000012,2.5325033798693624
