complexity,G,group_size,n,p,pystat_s,r_lmer_s,speedup_vs_r
intercept,10,8,80,2,0.0034679581876844168,0.015,4.325311664156948
intercept,25,8,200,2,0.0031952080316841602,0.015,4.694530012211336
intercept,50,8,400,2,0.0030567909125238657,0.016,5.234247437221495
intercept,100,8,800,2,0.0041002079378813505,0.017,4.1461311859183905
intercept,200,8,1600,2,0.006152041954919696,0.021,3.4135007780963873
intercept,400,8,3200,2,0.009397415909916162,0.03,3.192366953594548
intercept,800,8,6400,2,0.016220458084717393,0.0509999999999999,3.1441775400937124
intercept,2000,8,16000,2,0.033697790931910276,0.101,2.9972291122608157
intercept+slope,10,8,80,2,0.017791250022128224,0.019,1.0679406998591088
intercept+slope,25,8,200,2,0.019646083004772663,0.019,0.9671139023175404
intercept+slope,50,8,400,2,0.026884958148002625,0.024,0.8926924813451139
intercept+slope,100,8,800,2,0.0406673748511821,0.0279999999999999,0.6885126001484703
intercept+slope,200,8,1600,2,0.06961066694930196,0.041,0.588990190682423
intercept+slope,400,8,3200,2,0.12235300010070205,0.0600000000000001,0.49038437921928674
intercept+slope,800,8,6400,2,0.21805204101838171,0.109,0.49988066835297973
intercept+slope,2000,8,16000,2,0.5477735840249807,0.22,0.40162579287497574
