dataset,criterion,n,p,n_groups,coef_max_rel,loglik_rel,reml_crit_rel,aic_rel,bic_rel,se_max_rel,tval_max_rel,df_satt_max_rel,pval_max_abs,varcomp_max_rel,varcomp_boundary_max_abs,corr_max_abs,blup_max_scaled,py_singular,r_singular,r_diagnostics,py_converged
sleepstudy,REML,180,2,Subject=18,6.245165631041181e-14,1.5942110111489647e-11,1.5939762864534467e-11,1.5830812036409995e-11,1.5660696679521443e-11,1.3962553792641303e-05,1.3962748754768138e-05,4.865272374703812e-05,1.0663703986569664e-09,3.8960453678908236e-05,,4.694912357441905e-05,4.61823084528102e-05,False,False,,True
penicillin,REML,144,1,plate=24;sample=6,2.8270493564030605e-13,2.555269141045069e-11,2.5555783895846312e-11,2.4952449433817716e-11,2.4107331688184066e-11,2.5806902721774488e-05,2.580756901536612e-05,8.122688262629656e-05,3.8745426231768097e-10,5.456384190472331e-05,,,5.725867697153013e-07,False,False,,True
dyestuff,REML,30,1,Batch=6,2.977069400238718e-16,2.6994261013215804e-13,2.7314351064756e-13,2.681109924820479e-13,2.631433376652612e-13,2.6820962416388356e-06,2.6821034340285315e-06,7.2007350105404e-06,7.912725466347748e-13,7.165533702081508e-06,,,3.013164350386797e-06,False,False,,True
dyestuff2,REML,30,1,Batch=6,4.703006307910522e-16,0.0,1.2294017378484695e-15,1.1854496070043161e-15,1.982542613698723e-15,3.2731209070010085e-16,6.380926383539791e-16,7.34964386678632e-07,1.9194132201921917e-14,3.731217803899819e-15,0.0,,0.0,True,True,message: boundary (singular) fit: see help('isSingular'),True
pastes,REML,60,1,batch=10;sample=30,8.282303210257422e-16,1.0692486420015235e-12,1.0692486420015235e-12,1.0357023696919516e-12,1.0042689284964948e-12,3.1457197704059486e-07,3.145718769301427e-07,1.4751112994227633e-06,6.229075647610108e-19,5.130434145929738e-06,,,1.1780416554790418e-05,False,False,,True
sleepstudy,ML,180,2,Subject=18,7.800549406036428e-15,1.4497909748274595e-11,1.4500245860061264e-11,1.4401601339986118e-11,1.4246104259156884e-11,2.4264447747292286e-05,2.426385900354981e-05,6.4773124553898e-05,1.5580289675609864e-10,7.074142276640539e-05,,8.415729469565814e-06,4.647280401487036e-05,False,False,,True
dyestuff,ML,30,1,Batch=6,4.465604100358076e-16,1.7365939400625744e-15,1.2156157580438056e-15,1.1937342625814696e-15,3.368192993411977e-16,1.4688322185960322e-07,1.468832012418826e-07,3.0412066534080437e-07,1.0757142221272095e-15,4.234354346784543e-07,,,2.168995541441268e-07,False,False,,True
