dataset,family,link,n,p,coef_max_rel,loglik_rel,deviance_rel,aic_rel,bic_rel,se_max_rel,z_max_rel,varcomp_max_rel,blup_max_scaled,py_converged,r_singular
cbpp,binomial,logit,842,4,0.0005963209025817368,1.0230194767609985e-06,2.796518168373667e-06,1.004913078215089e-06,9.644919656958073e-07,0.01598385086117104,0.015401556250197337,0.00040754628249900726,0.0007750833044344685,True,False
grouseticks,poisson,log,403,2,6.334119563254703e-05,6.290917259621965e-09,2.632542454626571e-06,6.272455056753678e-09,6.235863408015777e-09,0.0382002495931886,0.03965160978823696,5.476783800935557e-05,5.900438724735554e-05,True,False
glmm_slope_synth,binomial,logit,800,2,0.0016552385517962114,3.7405616771355685e-06,9.242689172812561e-05,3.7030579632755024e-06,3.618088998659122e-06,0.045848665106074014,0.04978655054038016,0.0031330683045864426,0.002376656144527095,True,False
cbpp_probit,binomial,probit,842,4,0.0004212275977664024,8.571843790617197e-07,2.449759604603744e-05,8.420449727147364e-07,8.082433012208018e-07,0.013461408447179643,0.014072065871331495,0.0018985837438645413,0.0020791100105879605,True,False
