G,n,pystat_s,r_glmer_s,speedup_vs_r
10,150,0.0609,0.021,0.345
25,375,0.0953,0.028,0.294
50,750,0.0899,0.039,0.434
100,1500,0.1293,0.063,0.487
200,3000,0.2165,0.122,0.564
400,6000,0.4005,0.253,0.632
