dataset,statistic,B,se_rel,normal_rel,perc_rel,bca_rel,pass
law,corr,60000,1.24e-02,8.65e-03,2.03e-02,2.25e-03,True
city,ratio,60000,2.18e-03,1.46e-03,8.38e-04,7.13e-03,True
