ci_type,n_rep,B,coverage,mean_width,nominal,within_2se
normal,1000,1999,0.921,0.3611629040869693,0.95,False
basic,1000,1999,0.914,0.3609250175477033,0.95,False
perc,1000,1999,0.932,0.3609250175477033,0.95,True
bca,1000,1999,0.93,0.37205538937368626,0.95,False
