model_key,family,n,p,reps,wall_pystat_s,wall_r_s,speedup_vs_r,pystat_lags_r
ols,gaussian,50,8,300,3.995816223323345e-05,0.00039,9.760208633309832,False
ols,gaussian,200,8,300,4.7062523663043976e-05,0.0004166666666667,8.853470537405308,False
ols,gaussian,1000,8,100,0.00011747900862246752,0.00059,5.022173807203581,False
ols,gaussian,10000,8,30,0.000781208393163979,0.002266666666667,2.901487857147506,False
ols,gaussian,100000,8,8,0.007517938036471605,0.023125,3.075976403079435,False
ols,gaussian,500000,8,4,0.03867375012487173,0.08675,2.243123558483397,False
glm_binomial,binomial,50,8,300,0.0002694375580176711,0.00059,2.189746686916249,False
glm_binomial,binomial,200,8,300,0.00032810389529913664,0.0007666666666667,2.336658228235053,False
glm_binomial,binomial,1000,8,100,0.0008244998753070831,0.00166,2.013341723528747,False
glm_binomial,binomial,10000,8,30,0.006133207934908569,0.01096666666667,1.7880800362646578,False
glm_binomial,binomial,100000,8,8,0.05583191686309874,0.11,1.9701992369297074,False
glm_binomial,binomial,500000,8,4,0.2887981040403247,0.509,1.7624769445471453,False
glm_poisson,poisson,50,8,300,0.000285728950984776,0.00074,2.5898670661462937,False
glm_poisson,poisson,200,8,300,0.0003127704840153456,0.0009333333333333,2.984083796370976,False
glm_poisson,poisson,1000,8,100,0.0011643118923529983,0.00189,1.6232763853166814,False
glm_poisson,poisson,10000,8,30,0.007868500193580985,0.0134,1.7029929046620012,False
glm_poisson,poisson,100000,8,8,0.06310722895432264,0.140125,2.220427078194532,False
glm_poisson,poisson,500000,8,4,0.3094404374714941,0.59475,1.922017706734883,False
glm_gamma,gamma,50,8,300,0.0004171249456703663,0.0009,2.1576268917544588,False
glm_gamma,gamma,200,8,300,0.0003855836112052202,0.001153333333333,2.9911368113598535,False
glm_gamma,gamma,1000,8,100,0.0018977915169671178,0.00247,1.301512825785698,False
glm_gamma,gamma,10000,8,30,0.007623562589287758,0.01526666666667,2.002563301326068,False
glm_gamma,gamma,100000,8,8,0.06083789642434567,0.1585,2.6052840304414704,False
glm_gamma,gamma,500000,8,4,0.3010413959855214,0.75375,2.503808479669194,False
glm_negbin,negative.binomial,50,8,300,0.0009493334218859673,0.001466666666667,1.5449436761146436,False
glm_negbin,negative.binomial,200,8,300,0.0024694164749234915,0.00558,2.2596431410675195,False
glm_negbin,negative.binomial,1000,8,100,0.007906334125436842,0.0166,2.0995824027463312,False
glm_negbin,negative.binomial,10000,8,30,0.04877450002823025,0.1315,2.6960809423754,False
