model_key,family,slope_pystat,slope_r,n_points_for_slope
ols,gaussian,0.9357606394671631,0.8235598287393133,4
glm_binomial,binomial,0.9424309964175394,0.9287049630227465,4
glm_poisson,poisson,0.8966454567330909,0.9357584383316235,4
glm_gamma,gamma,0.8196095683114394,0.929090944374179,4
glm_negbin,negative.binomial,0.7902176623898733,0.8988176647857212,2
