model_key,n,p,engine,device,wall_median_s,peak_mem_mb,n_iter,error
ols,1000,8,pystatistics:cpu,cpu,0.00016041705384850502,,,
ols,1000,32,pystatistics:cpu,cpu,0.0006923330947756767,0.3,,
ols,1000,128,pystatistics:cpu,cpu,0.0023586659226566553,5.1,,
ols,10000,8,pystatistics:cpu,cpu,0.0009872079826891422,0.8,,
ols,10000,32,pystatistics:cpu,cpu,0.006028957897797227,5.5,,
ols,10000,128,pystatistics:cpu,cpu,0.027883082861080766,1.6,,
ols,100000,8,pystatistics:cpu,cpu,0.007474832935258746,24.1,,
ols,100000,32,pystatistics:cpu,cpu,0.05688875005580485,0.0,,
ols,100000,128,pystatistics:cpu,cpu,0.21891537494957447,1.7,,
ols,500000,8,pystatistics:cpu,cpu,0.041798333870247006,8.0,,
ols,500000,32,pystatistics:cpu,cpu,0.31474979198537767,0.0,,
ols,500000,128,pystatistics:cpu,cpu,1.292534332955256,8.0,,
glm_binomial,1000,8,pystatistics:cpu,cpu,0.0009167499374598265,0.0,4,
glm_binomial,1000,32,pystatistics:cpu,cpu,0.0032158750109374523,0.1,4,
glm_binomial,1000,128,pystatistics:cpu,cpu,0.010740082943812013,0.1,4,
glm_binomial,10000,8,pystatistics:cpu,cpu,0.007087833946570754,0.0,4,
glm_binomial,10000,32,pystatistics:cpu,cpu,0.030474291881546378,11.0,4,
glm_binomial,10000,128,pystatistics:cpu,cpu,0.09877737518399954,0.0,4,
glm_binomial,100000,8,pystatistics:cpu,cpu,0.061067790957167745,51.4,4,
glm_binomial,100000,32,pystatistics:cpu,cpu,0.265253083081916,,4,
glm_binomial,100000,128,pystatistics:cpu,cpu,0.9259768328629434,,4,
glm_binomial,500000,8,pystatistics:cpu,cpu,0.2928855000063777,12.1,4,
glm_binomial,500000,32,pystatistics:cpu,cpu,1.416714332997799,8.0,4,
glm_binomial,500000,128,pystatistics:cpu,cpu,5.466375458985567,36.1,4,
glm_poisson,1000,8,pystatistics:cpu,cpu,0.0007061250507831573,0.0,5,
glm_poisson,1000,32,pystatistics:cpu,cpu,0.003751707961782813,0.1,5,
glm_poisson,1000,128,pystatistics:cpu,cpu,0.01221520802937448,,5,
glm_poisson,10000,8,pystatistics:cpu,cpu,0.010108500020578504,,5,
glm_poisson,10000,32,pystatistics:cpu,cpu,0.03714616713114083,,5,
glm_poisson,10000,128,pystatistics:cpu,cpu,0.11978466692380607,,5,
glm_poisson,100000,8,pystatistics:cpu,cpu,0.06846529198810458,24.0,5,
glm_poisson,100000,32,pystatistics:cpu,cpu,0.3001906250137836,0.0,5,
glm_poisson,100000,128,pystatistics:cpu,cpu,1.2028537499718368,,5,
glm_poisson,500000,8,pystatistics:cpu,cpu,0.3446209579706192,0.1,5,
glm_poisson,500000,32,pystatistics:cpu,cpu,1.7525727080646902,,5,
glm_poisson,500000,128,pystatistics:cpu,cpu,6.804374708095565,16.1,5,
glm_gamma,1000,8,pystatistics:cpu,cpu,0.001982209039852023,0.0,6,
glm_gamma,1000,32,pystatistics:cpu,cpu,0.005703625036403537,0.0,7,
glm_gamma,1000,128,pystatistics:cpu,cpu,0.03943229210563004,0.0,14,
glm_gamma,10000,8,pystatistics:cpu,cpu,0.009916665963828564,,5,
glm_gamma,10000,32,pystatistics:cpu,cpu,0.03679033392108977,,5,
glm_gamma,10000,128,pystatistics:cpu,cpu,0.14616029104217887,0.0,6,
glm_gamma,100000,8,pystatistics:cpu,cpu,0.06294812494888902,16.0,5,
glm_gamma,100000,32,pystatistics:cpu,cpu,0.30433570803143084,,5,
glm_gamma,100000,128,pystatistics:cpu,cpu,1.152504500001669,,5,
glm_gamma,500000,8,pystatistics:cpu,cpu,0.3254309589974582,0.0,5,
glm_gamma,500000,32,pystatistics:cpu,cpu,1.7231279169209301,8.0,5,
glm_gamma,500000,128,pystatistics:cpu,cpu,6.719155707862228,0.0,5,
