model_key,n,p,engine,device,wall_median_s,peak_mem_mb,n_iter,error
ols,1000,8,pystatistics:gpu,mps,0.003240874968469143,8.8,,
ols,1000,32,pystatistics:gpu,mps,0.003241209080442786,8.8,,
ols,1000,128,pystatistics:gpu,mps,0.004585625138133764,8.8,,
ols,10000,8,pystatistics:gpu,mps,0.002714666072279215,11.2,,
ols,10000,32,pystatistics:gpu,mps,0.004090416012331843,44.7,,
ols,10000,128,pystatistics:gpu,mps,0.006250167032703757,44.7,,
ols,100000,8,pystatistics:gpu,mps,0.005003792000934482,44.7,,
ols,100000,32,pystatistics:gpu,mps,0.03852370800450444,1089.1,,
ols,100000,128,pystatistics:gpu,mps,0.04650054103694856,1095.4,,
ols,500000,8,pystatistics:gpu,mps,0.04300954192876816,1095.4,,
ols,500000,32,pystatistics:gpu,mps,0.05273724999278784,1131.0,,
ols,500000,128,pystatistics:gpu,mps,0.0726964168716222,1131.0,,
glm_binomial,1000,8,pystatistics:gpu,mps,0.017496875021606684,57.3,3,
glm_binomial,1000,32,pystatistics:gpu,mps,0.023114832816645503,57.3,3,
glm_binomial,1000,128,pystatistics:gpu,mps,0.034230166114866734,57.3,3,
glm_binomial,10000,8,pystatistics:gpu,mps,0.018814000068232417,57.3,3,
glm_binomial,10000,32,pystatistics:gpu,mps,0.023849874967709184,90.8,3,
glm_binomial,10000,128,pystatistics:gpu,mps,0.02906920900568366,90.8,3,
glm_binomial,100000,8,pystatistics:gpu,mps,0.05089624994434416,90.8,3,
glm_binomial,100000,32,pystatistics:gpu,mps,0.10599704179912806,1131.0,3,
glm_binomial,100000,128,pystatistics:gpu,mps,0.17104120808653533,1131.0,3,
glm_binomial,500000,8,pystatistics:gpu,mps,0.25423658289946616,1131.0,3,
glm_binomial,500000,32,pystatistics:gpu,mps,0.3169732498936355,1120.5,3,
glm_binomial,500000,128,pystatistics:gpu,mps,0.5998079171404243,1082.8,3,
glm_poisson,1000,8,pystatistics:gpu,mps,0.032389207975938916,9.0,5,
glm_poisson,1000,32,pystatistics:gpu,mps,0.03988270787522197,9.0,5,
glm_poisson,1000,128,pystatistics:gpu,mps,0.060525499982759356,9.0,5,
glm_poisson,10000,8,pystatistics:gpu,mps,0.03177387500181794,9.0,5,
glm_poisson,10000,32,pystatistics:gpu,mps,0.03617199999280274,42.6,5,
glm_poisson,10000,128,pystatistics:gpu,mps,0.04906450002454221,42.6,5,
glm_poisson,100000,8,pystatistics:gpu,mps,0.07044825004413724,42.6,5,
glm_poisson,100000,32,pystatistics:gpu,mps,0.12407466699369252,1082.8,5,
glm_poisson,100000,128,pystatistics:gpu,mps,0.19971650000661612,1082.8,5,
glm_poisson,500000,8,pystatistics:gpu,mps,0.29394945804961026,1082.8,5,
glm_poisson,500000,32,pystatistics:gpu,mps,0.34656558302231133,1082.8,5,
glm_poisson,500000,128,pystatistics:gpu,mps,0.6418083340395242,1082.8,5,
glm_gamma,1000,8,pystatistics:gpu,mps,0.02508724993094802,9.0,5,
glm_gamma,1000,32,pystatistics:gpu,mps,0.034328458830714226,9.0,5,
glm_gamma,1000,128,pystatistics:gpu,mps,0.10126962512731552,9.0,11,
glm_gamma,10000,8,pystatistics:gpu,mps,0.026380166178569198,9.0,5,
glm_gamma,10000,32,pystatistics:gpu,mps,0.030403582844883204,42.6,5,
glm_gamma,10000,128,pystatistics:gpu,mps,0.04207608290016651,42.6,5,
glm_gamma,100000,8,pystatistics:gpu,mps,0.05718641704879701,42.6,5,
glm_gamma,100000,32,pystatistics:gpu,mps,0.1158535829745233,1082.8,5,
glm_gamma,100000,128,pystatistics:gpu,mps,0.1918768328614533,1082.8,5,
glm_gamma,500000,8,pystatistics:gpu,mps,0.2935247079003602,1082.8,5,
glm_gamma,500000,32,pystatistics:gpu,mps,0.34146383311599493,1082.8,5,
glm_gamma,500000,128,pystatistics:gpu,mps,0.6265788751188666,1082.8,5,
