complexity,G,group_size,n,p,pystat_s,r_lmer_s,speedup_vs_r
intercept,10,8,80,2,0.0030930410139262676,0.0139999999999999,4.526289802484214
intercept,25,8,200,2,0.0029239170253276825,0.0139999999999999,4.7880975686821765
intercept,50,8,400,2,0.0029957920778542757,0.016,5.340824591358135
intercept,100,8,800,2,0.0037519170437008142,0.016,4.264486611414502
intercept,200,8,1600,2,0.00516741699539125,0.02,3.870405662604302
intercept,400,8,3200,2,0.008492124965414405,0.031,3.650440864477698
intercept,800,8,6400,2,0.014729625079780817,0.0469999999999999,3.1908483580153204
intercept,2000,8,16000,2,0.030024874955415726,0.127,4.22982610880424
intercept+slope,10,8,80,2,0.017551790922880173,0.018,1.0255363728458928
intercept+slope,25,8,200,2,0.01890412508510053,0.025,1.3224626840680394
intercept+slope,50,8,400,2,0.02593770786188543,0.024,0.925293789559068
intercept+slope,100,8,800,2,0.039640208007767797,0.0289999999999999,0.7315804194144777
intercept+slope,200,8,1600,2,0.06399954110383987,0.0389999999999999,0.6093793694039465
intercept+slope,400,8,3200,2,0.11198858404532075,0.0610000000000001,0.5446983772498987
intercept+slope,800,8,6400,2,0.2047752500511706,0.106,0.5176406815448255
intercept+slope,2000,8,16000,2,0.5276499579194933,0.214,0.40557190764080614
