axis,n,n_smooths,k,py_ms,r_ms,ratio_py_over_r
n,200,1,10,4.108,2,2.05
n,1000,1,10,4.929,2,2.46
n,5000,1,10,6.967,4,1.74
n,20000,1,10,15.46,12,1.29
n,50000,1,10,29.43,29,1.01
n_smooths,2000,1,10,5.374,2,2.69
n_smooths,2000,2,10,10.06,5,2.01
n_smooths,2000,4,10,27.01,13,2.08
n_smooths,2000,6,10,64.38,26,2.48
