survey,p,n,n_patterns,missing_frac,engine,converged,n_iter,loglik,wall_median_s,backend_name,precision,parameterization,error
wvs,100,97220,43766,0.11516354659535075,pystatistics:cpu,True,132,-1776130.0672153085,1198.6590942080365,cpu_cholesky_fp64,fp64,cholesky,
gss,100,75699,32673,0.27359529187968135,pystatistics:cpu,True,341,-660081.1060685556,2225.2806771249743,cpu_cholesky_fp64,fp64,cholesky,
