survey,p,n,n_patterns,missing_frac,engine,converged,n_iter,loglik,wall_median_s,backend_name,precision,parameterization,error
wvs,20,97109,3704,0.09026763739715166,r:mvnmle,,57,-665376.1639916372,225.049,r_mvnmle,fp64,inverse_cholesky,
gss,20,75683,89,0.18908275306211433,r:mvnmle,,100,99691.16859533728,152.671,r_mvnmle,fp64,inverse_cholesky,
