n,p,k,subspace_max_angle_deg,sdev_max_rel,wall_cpu_s,wall_gpu_s,gpu_speedup_vs_cpu
5000,100,10,8.748576518413899e-06,4.5997927218452594e-07,0.004393064416944981,0.0021036090329289436,2.0883464313843203
100000,100,10,1.4209625421253986e-05,2.2371643597828174e-07,0.11936051212251186,0.02419441659003496,4.9333907961092685
500000,200,10,1.198328416961092e-05,3.8699740255606226e-07,1.8377184886485338,0.21091562509536743,8.713050480814745
2000,5000,10,9.115808030550376e-06,2.0625787698806403e-07,2.1507519418373704,0.019546951167285442,110.0300462937133
