n,p,k,wall_cpu_fp64_s,wall_gpu_fp64_s,wall_gpu_fp32_s,hardware_only_speedup_fp64,bundled_speedup_fp32,gpu_fp64_vs_cpu_sdev_rel
5000,100,10,0.004480735398828983,0.07525420561432838,0.00207486841827631,0.059541328783568374,2.1595274955080472,6.652073591522753e-14
50000,100,10,0.05275508016347885,0.16573111899197102,0.012252583168447018,0.3183172869666958,4.305629224320166,5.206654789474488e-14
200000,200,10,0.62731390632689,0.9601719994097948,0.08662391267716885,0.6533349303171636,7.24180987604164,1.9528750391131582e-13
