study,shape,n,p,k,sdev_max_rel,subspace_max_angle_deg,loading_min_cos,score_max_rel,within_fp32_tier
correctness,tall,50000,100,10,0.00019296056025972796,0.022569858181037024,0.9999983027137181,0.2500922534500828,False
correctness,tall,200000,100,10,6.0107298268225486e-05,0.02953710940352891,0.999999257885577,0.10638221231981591,True
correctness,wide,2000,3000,8,3.7319673809234767e-07,4.368451981412212e-05,0.9999999999984797,0.0006204329146606653,True
correctness,square,5000,5000,10,3.112537368428701e-07,6.642995426696278e-05,0.9999999999960563,0.0009600914700568885,True
