analysis,dataset,scaling,n,p,k,sdev_max_rel,rotation_max_abs,scores_max_rel,evr_max_abs,center_max_rel,scale_max_rel,wall_pystat_s,wall_r_s
pca,iris,covariance,150,4,4,3.9699082918879566e-16,3.3306690738754696e-16,1.9512926824191927e-12,1.1102230246251565e-16,0.0,0.0,4.3457839637994766e-05,0
pca,iris,correlation,150,4,4,1.1570729337626923e-15,6.106226635438361e-16,1.1799943850379812e-13,4.440892098500626e-16,0.0,0.0,5.154171958565712e-05,0.0010000000000000009
pca,usarrests,covariance,50,4,4,2.7373096535697596e-16,4.718447854656915e-16,2.710793430132981e-12,2.6020852139652106e-18,0.0,0.0,3.262516111135483e-05,0
pca,usarrests,correlation,50,4,4,3.718535887323168e-16,4.440892098500626e-16,1.913950077955765e-14,1.1102230246251565e-16,0.0,0.0,4.3165870010852814e-05,0
