analysis,sweep,n,p,wall_pystat_s,wall_r_s,speedup_vs_r,rotation
pca,n,1000,50,0.0015824590809643269,0.0020000000000000018,1.2638557445550072,
pca,n,5000,50,0.0064046671614050865,0.008000000000000007,1.2490891092996204,
pca,n,20000,50,0.020138125400990248,0.028999999999999915,1.4400545940871887,
pca,n,100000,50,0.10613487474620342,0.17999999999999972,1.695955268524388,
pca,p,10000,10,0.002620709128677845,0.0020000000000000018,0.7631522239971008,
pca,p,10000,50,0.014258999843150377,0.02100000000000002,1.472754066273998,
pca,p,10000,200,0.07716620806604624,0.09699999999999998,1.2570269089415158,
pca,p,10000,500,0.2709412081167102,0.3460000000000001,1.2770298117625491,
factor_analysis,n,500,12,0.0032492498867213726,0.0020000000000000018,0.615526681457573,none
factor_analysis,n,2000,12,0.0010421662591397762,0.0020000000000000018,1.9190795925890363,none
factor_analysis,n,10000,12,0.0016002501361072063,0.0030000000000000027,1.8747069175684308,none
factor_analysis,n,50000,12,0.0030234581790864468,0.008000000000000007,2.645976734633468,none
