model_key,family,dataset,formula,n,n_coef,coef_max_abs,coef_max_rel,se_max_rel,tstat_max_rel,pval_max_abs,wall_pystat_s,wall_r_s,speedup_vs_r,r2_pystat,r2_r,r2_abs_diff,deviance_pystat,deviance_r,deviance_rel_diff,n_iter
ols,gaussian,california_housing,MedHouseVal ~ MedInc + HouseAge + AveRooms + AveBedrms + Population + AveOccup + Latitude + Longitude,20640,9,2.0605739337042905e-13,5.83662722542952e-13,3.3624902444611965e-14,5.827744642032451e-13,2.7411406477995115e-13,0.0013629524037241936,0.0030000000000000027,2.2011040090634606,0.606232685199805,0.6062326851998048,2.220446049250313e-16,,,,
glm_binomial,binomial,california_housing,high_value ~ MedInc + HouseAge + AveRooms + Population,20640,5,1.567457275086781e-11,1.5974630520815152e-11,6.194803769792343e-10,6.035055916948537e-10,1.2154849609452567e-13,0.005812661722302437,0.019000000000000017,3.268726257903407,,,,19574.587383936105,19600.62298885244,0.0013283049692421544,6
glm_poisson,poisson,california_housing,pop_count ~ MedInc + HouseAge + AveOccup,20640,4,1.9539925233402755e-14,8.40254876279676e-15,1.291219209228127e-08,1.2912194140512061e-08,1.5660548339082547e-57,0.0032298099249601364,0.016000000000000014,4.953851889658025,,,,117276.83123985073,117276.83123985073,0.0,5
glm_gamma,gamma,airquality,Ozone ~ Solar.R + Temp + Wind,111,4,1.2212453270876722e-15,2.7057201328752036e-15,0.006298283620308697,0.006258863522704572,0.002949994509198639,0.0003416677936911583,0.0010000000000000009,2.9268196138613076,,,,25.86258425046589,25.862584250465893,1.3736885859488313e-16,7
glm_negbin,negative.binomial,quine,Days ~ Eth + Sex + Age + Lrn,146,7,1.3750300121628811e-05,0.00015806993873945558,7.615317976834507e-07,0.0001579845443599833,0.0022634790641354874,0.002017076127231121,0.0030000000000000027,1.4873013266574922,,,,167.95181292825754,167.9518004093353,7.453877959374798e-08,7
