model_key,family,dataset,formula,n,n_coef,coef_max_abs,coef_max_rel,se_max_rel,tstat_max_rel,pval_max_abs,wall_pystat_s,wall_r_s,speedup_vs_r,r2_pystat,r2_r,r2_abs_diff,deviance_pystat,deviance_r,deviance_rel_diff,n_iter
ols,gaussian,california_housing,MedHouseVal ~ MedInc + HouseAge + AveRooms + AveBedrms + Population + AveOccup + Latitude + Longitude,20640,9,7.815970093361102e-14,6.60348335723993e-15,1.4462323632091258e-15,6.6299711513473765e-15,3.2751579226442118e-15,0.0018039580900222063,0.0030000000000000027,1.6630098097029922,0.606232685199805,0.6062326851998054,4.440892098500626e-16,,,,
glm_binomial,binomial,california_housing,high_value ~ MedInc + HouseAge + AveRooms + Population,20640,5,1.5710099887655815e-11,1.5971751041653236e-11,6.194888864876949e-10,6.035170405855644e-10,1.2157343274449284e-13,0.011294499970972538,0.021999999999999964,1.9478507288096973,,,,19574.58738393611,19600.622988852472,0.0013283049692436372,6
glm_poisson,poisson,california_housing,pop_count ~ MedInc + HouseAge + AveOccup,20640,4,9.325873406851315e-15,4.248576585559644e-15,1.2912188652118126e-08,1.2912192808569443e-08,1.5660549140271076e-57,0.007803583983331919,0.018000000000000016,2.306632444585354,,,,117276.83123985073,117276.83123985077,3.722452697909039e-16,5
glm_gamma,gamma,airquality,Ozone ~ Solar.R + Temp + Wind,111,4,5.440092820663267e-15,1.2052753319171369e-14,0.006298283620309037,0.006258863522702625,0.002949994509192033,0.00035358406603336334,0.0010000000000000009,2.828181742515635,,,,25.862584250465897,25.862584250465883,5.494754343795327e-16,7
glm_negbin,negative.binomial,quine,Days ~ Eth + Sex + Age + Lrn,146,7,1.375030011629974e-05,0.00015806993874569472,7.615317973857637e-07,0.00015798454436516092,0.002263479064133947,0.002109167166054249,0.0030000000000000027,1.4223623657162703,,,,167.95181292825774,167.95180040933525,7.453878111677653e-08,7
