func,n,py_ms,r_ms,ratio_py_over_r,py_slope,r_slope
acf,200,0.0574,0.3,0.191,0.18582399785871573,0.3416231376440942
acf,500,0.0512,0.1,0.512,0.18582399785871573,0.3416231376440942
acf,1000,0.0678,0.3,0.226,0.18582399785871573,0.3416231376440942
acf,2000,0.0703,0.3,0.234,0.18582399785871573,0.3416231376440942
acf,5000,0.0787,0.4,0.197,0.18582399785871573,0.3416231376440942
acf,10000,0.0945,0.6,0.157,0.18582399785871573,0.3416231376440942
acf,20000,0.1393,1.0,0.139,0.18582399785871573,0.3416231376440942
arima,200,2.2016,1.7,1.295,0.17033455226068728,0.5179591425314636
arima,500,2.111,2.3,0.918,0.17033455226068728,0.5179591425314636
arima,1000,1.9738,2.7,0.731,0.17033455226068728,0.5179591425314636
arima,2000,3.4628,5.7,0.608,0.17033455226068728,0.5179591425314636
arima,5000,3.4076,8.3,0.411,0.17033455226068728,0.5179591425314636
ets,200,0.7494,0.7,1.071,0.39312197341654365,0.6582948517207301
ets,500,0.9195,1.3,0.707,0.39312197341654365,0.6582948517207301
ets,1000,1.1175,1.7,0.657,0.39312197341654365,0.6582948517207301
ets,2000,1.5566,2.7,0.577,0.39312197341654365,0.6582948517207301
ets,5000,2.6776,6.3,0.425,0.39312197341654365,0.6582948517207301
stl,240,0.0698,0.7,0.1,0.8012949571517752,0.3852196949967376
stl,480,0.1368,1.0,0.137,0.8012949571517752,0.3852196949967376
stl,960,0.1986,1.0,0.199,0.8012949571517752,0.3852196949967376
stl,2400,0.4431,1.7,0.261,0.8012949571517752,0.3852196949967376
stl,4800,0.8138,2.3,0.354,0.8012949571517752,0.3852196949967376
