study,shape,n,p,k,sdev_max_rel,subspace_max_angle_deg,loading_min_cos,score_max_rel,within_fp32_tier
correctness,tall,50000,100,10,0.00023793665128189534,0.022266270697161295,0.9999992547119155,0.16083931052217873,False
correctness,tall,200000,100,10,1.3060345048782248e-05,0.005666212809384192,0.9999999770464582,0.012573629916775414,True
correctness,wide,2000,3000,8,2.62061975552046e-07,4.301189273058933e-05,0.9999999999958287,0.0009949335089834159,True
correctness,square,5000,5000,10,2.3477675562287777e-07,6.738865190208761e-05,0.9999999999966324,0.0007569395193680428,True
