n,p,k,subspace_max_angle_deg,sdev_max_rel,wall_cpu_s,wall_gpu_s,gpu_speedup_vs_cpu
5000,100,10,8.748576518413899e-06,4.5997927218452594e-07,0.004441376775503159,0.0021057389676570892,2.1091772739736934
100000,100,10,1.4209625421253986e-05,2.2371643597828174e-07,0.1195953655987978,0.02392734680324793,4.998271082131169
500000,200,10,1.198328416961092e-05,3.8699740255606226e-07,1.8432234497740865,0.20539315789937973,8.974122938783896
2000,5000,10,9.115808030550376e-06,2.0625787698806403e-07,2.140315449796617,0.019589277915656567,109.25953774365455
