analysis,sweep,n,p,wall_pystat_s,wall_r_s,speedup_vs_r,rotation
pca,n,1000,50,0.0015637080650776625,0.0020000000000000018,1.2790111176542858,
pca,n,5000,50,0.007159165805205703,0.008000000000000007,1.1174486270708945,
pca,n,20000,50,0.02023620787076652,0.028999999999999915,1.4330748223778467,
pca,n,100000,50,0.10619516717270017,0.17099999999999937,1.610242768598972,
pca,p,10000,10,0.0017694160342216492,0.0020000000000000018,1.1303164215304426,
pca,p,10000,50,0.012029124889522791,0.015000000000000013,1.2469735028742461,
pca,p,10000,200,0.06408125022426248,0.09899999999999975,1.5449136783931896,
pca,p,10000,500,0.21030695782974362,0.3070000000000004,1.4597710088533338,
factor_analysis,n,500,12,0.0032750419341027737,0.0020000000000000018,0.6106792035772571,none
factor_analysis,n,2000,12,0.0010886250529438257,0.0020000000000000018,1.8371798394604868,none
factor_analysis,n,10000,12,0.001325499964877963,0.0030000000000000027,2.263296929077028,none
factor_analysis,n,50000,12,0.0031443340703845024,0.009000000000000008,2.862291282840519,none
