n,p,k,wall_cpu_fp64_s,wall_gpu_fp64_s,wall_gpu_fp32_s,hardware_only_speedup_fp64,bundled_speedup_fp32,gpu_fp64_vs_cpu_sdev_rel
5000,100,10,0.004487438127398491,0.07528130523860455,0.0020690392702817917,0.05960893097131524,2.168851114550052,6.652073591522753e-14
50000,100,10,0.05304898880422115,0.16514558531343937,0.01210732851177454,0.32122559439621956,4.381560205674629,5.206654789474488e-14
200000,200,10,0.6232022838667035,0.9598154593259096,0.08550555072724819,0.6492938593679104,7.288442429365076,1.9528750391131582e-13
