study,n,p,k,wall_cpu_s,wall_mps_s,mps_speedup_vs_cpu
value,5000,100,10,0.020139792002737522,0.02040158398449421,0.9871680560707612
value,100000,100,10,0.3762598750181496,0.10089337499812245,3.7292822747296492
value,500000,200,10,3.7079336252063513,0.403095040936023,9.198658501469518
value,2000,5000,10,2.161196209024638,0.06533499993383884,33.078690000966745
