procedure,dataset,n,n_events,wall_pystat_s,wall_r_s,speedup_vs_r
kaplan_meier,lung_km,228,165,0.0001712909433990717,0.0006000000000000005,3.5028121632918285
survdiff,lung_km,228,,0.000490417005494237,0.0006000000000000005,1.2234486024711295
coxph,lung_coxph,227,164,0.0026818751357495785,0.001200000000000001,0.4474481246363483
discrete_time,lung_discrete,227,164,0.001289083156734705,0.001200000000000001,0.9308941736851524
