dataset,person_period_n,cols,expansion_s,fit_cpu_s,e2e_discrete_s,expansion_frac_of_e2e
flchain_5yr,19690,10,0.0157,0.02055808319710195,0.0353211669716984,0.4449
flchain_2_5yr,36018,13,0.029,0.04174091713503003,0.07121641701087356,0.407
flchain_yearly,82919,21,0.07,0.13741199998185039,0.20565316593274474,0.3404
flchain_quarterly,319508,62,0.2882,3.7704519170802087,4.087989082792774,0.0705
flchain_monthly,951967,172,0.9987,106.58584166690707,106.90187499998137,0.0093
