n,dtype,max_rel_vs_fp64,tier,verdict
100,torch.float32,1.70e-07,1e-05,ok
1000,torch.float32,1.33e-07,1e-05,ok
10000,torch.float32,1.34e-07,1e-05,ok
100000,torch.float32,1.75e-07,1e-05,ok
