dataset,statistic,B,se_rel,normal_rel,perc_rel,bca_rel(conv),pass
law,corr,60000,1.24e-02,8.65e-03,2.03e-02,1.46e-02,True
city,ratio,60000,2.18e-03,1.46e-03,7.32e-04,5.54e-02,True
