G,n,pystat_s,r_glmer_s,speedup_vs_r
10,150,0.0636,0.022,0.346
25,375,0.0988,0.029,0.294
50,750,0.0961,0.039,0.406
100,1500,0.1353,0.065,0.48
200,3000,0.2249,0.129,0.574
400,6000,0.4135,0.258,0.624
