study,n,M,device,cpu_s,gpu_fp32_s,gpu_fp32_speedup_vs_cpu
speed,5000,500,mps,0.3484425419010222,0.9659830001182854,0.36071291302057606
speed,20000,1000,mps,2.8248729165643454,2.8130640420131385,1.0041978690761537
