complexity,G,group_size,n,p,pystat_s,r_lmer_s,speedup_vs_r
intercept,10,8,80,2,0.0022137081250548363,0.0139999999999999,6.32423030007766
intercept,25,8,200,2,0.0022853752598166466,0.016,7.0010384208340755
intercept,50,8,400,2,0.002422917168587446,0.017,7.016335605856041
intercept,100,8,800,2,0.0028642918914556503,0.017,5.93514929491369
intercept,200,8,1600,2,0.004195250105112791,0.021,5.005661038994338
intercept,400,8,3200,2,0.0068272920325398445,0.031,4.540599677331743
intercept,800,8,6400,2,0.011821832973510027,0.0509999999999999,4.314051815338536
intercept,2000,8,16000,2,0.024487290997058153,0.104,4.247101078371402
intercept+slope,10,8,80,2,0.008974833879619837,0.019,2.1170308280742036
intercept+slope,25,8,200,2,0.011549917049705982,0.02,1.7316141677839259
intercept+slope,50,8,400,2,0.01669600000604987,0.022,1.3176808811708314
intercept+slope,100,8,800,2,0.02781212516129017,0.0289999999999999,1.042710682187029
intercept+slope,200,8,1600,2,0.04836675012484193,0.0419999999999999,0.868365145303158
intercept+slope,400,8,3200,2,0.08808941720053554,0.0650000000000002,0.7378865937099767
intercept+slope,800,8,6400,2,0.16267624963074923,0.116,0.7130727457960376
intercept+slope,2000,8,16000,2,0.4208932500332594,0.232,0.5512086496556244
