dataset,criterion,n,p,n_groups,coef_max_rel,loglik_rel,reml_crit_rel,aic_rel,bic_rel,se_max_rel,tval_max_rel,df_satt_max_rel,pval_max_abs,varcomp_max_rel,varcomp_boundary_max_abs,corr_max_abs,blup_max_scaled,py_singular,r_singular,r_diagnostics,py_converged
sleepstudy,REML,180,2,Subject=18,4.3105219301208154e-14,1.5730466677701128e-11,1.572811943074595e-11,1.5620615219335563e-11,1.5452768809896167e-11,1.364220897737902e-05,1.3642395110100263e-05,4.819741093618253e-05,1.0751792943021688e-09,3.8042153651537964e-05,,4.6880317647449155e-05,4.634760009820085e-05,False,False,,True
penicillin,REML,144,1,plate=24;sample=6,2.8270493564030605e-13,2.555269141045069e-11,2.5555783895846312e-11,2.4952449433817716e-11,2.4107331688184066e-11,2.5806902721774488e-05,2.580756901536612e-05,8.122688262629656e-05,3.8745426231768097e-10,5.456384190472331e-05,,,5.725867697153013e-07,False,False,,True
dyestuff,REML,30,1,Batch=6,2.977069400238718e-16,2.663860540039346e-13,2.6958695451933654e-13,2.6461996393410456e-13,2.596967975517673e-13,2.664545899146439e-06,2.664552998304822e-06,7.565380266724348e-06,8.265628552904373e-13,7.118645960772758e-06,,,2.9934475806798128e-06,False,False,,True
dyestuff2,REML,30,1,Batch=6,4.703006307910522e-16,0.0,1.2294017378484695e-15,1.1854496070043161e-15,1.982542613698723e-15,3.2731209070010085e-16,6.380926383539791e-16,7.34964386678632e-07,1.9194132201921917e-14,3.731217803899819e-15,0.0,,0.0,True,True,message: boundary (singular) fit: see help('isSingular'),True
pastes,REML,60,1,batch=10;sample=30,8.282303210257422e-16,1.0692486420015235e-12,1.0692486420015235e-12,1.0357023696919516e-12,1.0042689284964948e-12,3.1457197704059486e-07,3.145718769301427e-07,1.4751112994227633e-06,6.229075647610108e-19,5.130434145929738e-06,,,1.1780416554790418e-05,False,False,,True
sleepstudy,ML,180,2,Subject=18,5.871813337881167e-14,1.4474289062431271e-11,1.447662517421794e-11,1.4378141344605656e-11,1.422289631988758e-11,2.4019217589587093e-05,2.401864066686394e-05,6.321378621074448e-05,1.5507764829467072e-10,7.002575791011209e-05,,8.583609664408742e-06,4.60096915607059e-05,False,False,,True
dyestuff,ML,30,1,Batch=6,1.488534700119359e-16,1.285079515646305e-14,1.5803004854569473e-14,1.5518545413559105e-14,1.3809591272989105e-14,5.841327697250075e-07,5.841324298293324e-07,1.561897254347027e-06,5.35858683049411e-15,1.6839401139416266e-06,,,8.625766377783843e-07,False,False,,True
