dataset,n,p,M,true_h2,beta_max_rel,beta_se_max_rel,var_genetic_rel,var_residual_rel,heritability_rel,blup_corr,blup_max_scaled,py_h2,r_h2,py_loglik,r_loglik
grm_n400_M80_h20,400,2,80,0.2,2.260303791961654e-09,9.046217903770554e-09,1.7741819989384344e-07,1.8156198870251455e-08,1.6441370194000972e-07,0.9999999999999998,3.517656616152969e-07,0.15932915048185614,0.159329124285965,-550.2849633073498,-544.272860592173
grm_n400_M80_h50,400,2,80,0.5,3.4416276550372743e-07,1.3537605139072952e-06,1.4522915985951877e-05,2.7077268459288227e-06,9.293295341533452e-06,0.9999999999994453,9.515213757154253e-06,0.4606515499052505,0.460655830915938,-479.02604658258434,-473.060048982911
grm_n400_M80_h80,400,2,80,0.8,9.908498529023838e-08,2.376008816143683e-06,2.044179633111505e-05,4.754649273408674e-06,5.286709573111342e-06,0.9999999999998559,3.665232284738264e-06,0.7901793454355269,0.790183522906322,-379.29052293002746,-373.29842482676
grm_n800_M150_h50,800,2,150,0.5,2.692140943342716e-08,2.6907842920937086e-07,2.9066391685026633e-06,5.383605938832124e-07,1.6407571409899397e-06,0.9999999999999828,1.7691493881009245e-06,0.5237276817875672,0.523728541098911,-982.6216756541183,-975.962131587025
