dataset,person_period_n,cols,n_intervals,backend,precision,gate_result,coef_max_rel,forced_max_rel,faithfulness_rel,note
flchain_5yr,19690,10,3,gpu,fp32,accepted,9.009502492185278e-06,,0.0,
flchain_2_5yr,36018,13,6,gpu,fp32,accepted,3.194173121737256e-05,,0.0,
flchain_yearly,82919,21,14,gpu,fp32,accepted,2.3728873725078348e-05,,0.0,
flchain_half_yr,162408,35,28,gpu,fp32,accepted,8.391900331684327e-05,,0.0,
flchain_quarterly,319508,62,55,gpu,fp32,rejected,,,0.0,NumericalError
