dataset,person_period_n,cols,engine,wall_r_s,status
flchain_yearly,82919,21,r:glm,0.268,ok
flchain_quarterly,319508,62,r:glm,2.806000000000001,ok
flchain_monthly,951967,172,r:glm,71.05999999999999,ok
